lot_number,name,lot_number_extracted,building_number, price , price_per_sqm , deposit ,applications,status,auction_end,unit_floor,building_floors,total_area,rooms,completion_term,handover_status,living_area,kitchen_area,auxiliary_area,views,url
24566301,44B/2/50,44B,2," 844,750,000.00 "," 10,900,000.00 "," 42,237,500.00 ",0,On sale,27.07.2026 09:00,9,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,76,https://e-auksion.uz/lot-view?lot_id=24566301
24566308,46A/9/31,46A,9," 902,956,000.00 "," 10,900,000.00 "," 45,147,800.00 ",0,On sale,27.07.2026 09:00,8,12,82.84,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,61.63,0,21.21,45,https://e-auksion.uz/lot-view?lot_id=24566308
24566321,44A/5/56,44A,5," 693,532,000.00 "," 11,900,000.00 "," 34,676,600.00 ",0,On sale,27.07.2026 09:00,12,12,58.28,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,45.3,0,12.98,97,https://e-auksion.uz/lot-view?lot_id=24566321
24566330,44B/6/44,44B,6," 844,750,000.00 "," 10,900,000.00 "," 42,237,500.00 ",0,On sale,27.07.2026 09:00,8,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,24,https://e-auksion.uz/lot-view?lot_id=24566330
24566354,45D/1/5,45D,1," 936,637,000.00 "," 10,900,000.00 "," 46,831,850.00 ",0,On sale,27.07.2026 09:00,2,12,85.93,0,2027-yilning 2 choragida,Tamirsiz holda (korobka),0,0,0,19,https://e-auksion.uz/lot-view?lot_id=24566354
24566358,45D/2/11,45D,2," 904,918,000.00 "," 10,900,000.00 "," 45,245,900.00 ",0,On sale,27.07.2026 09:00,2,12,83.02,0,2027-yilning 2 choragida,Tamirsiz holda (korobka),0,0,0,13,https://e-auksion.uz/lot-view?lot_id=24566358
24566366,45D/3/7,45D,3," 1,018,278,000.00 "," 10,900,000.00 "," 50,913,900.00 ",0,On sale,27.07.2026 09:00,2,12,93.42,0,2027-yilning 2 choragida,Tamirsiz holda (korobka),0,0,0,11,https://e-auksion.uz/lot-view?lot_id=24566366
24566378,45D/7/7,45D,7," 1,018,278,000.00 "," 10,900,000.00 "," 50,913,900.00 ",0,On sale,27.07.2026 09:00,2,9,93.42,0,2027-yilning 2 choragida,Tamirsiz holda (korobka),0,0,0,13,https://e-auksion.uz/lot-view?lot_id=24566378
24566391,45D/9/4,45D,9," 882,573,000.00 "," 10,900,000.00 "," 44,128,650.00 ",0,On sale,27.07.2026 09:00,2,12,80.97,0,2027-yilning 2 choragida,Tamirsiz holda (korobka),0,0,0,9,https://e-auksion.uz/lot-view?lot_id=24566391
24566404,43F/5/33,43F,5," 1,068,636,000.00 "," 12,900,000.00 "," 53,431,800.00 ",0,On sale,27.07.2026 09:00,7,12,82.84,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,61.63,0,21.21,11,https://e-auksion.uz/lot-view?lot_id=24566404
24566411,43F/5/58,43F,5," 1,068,636,000.00 "," 12,900,000.00 "," 53,431,800.00 ",0,On sale,27.07.2026 09:00,12,12,82.84,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,61.63,0,21.21,7,https://e-auksion.uz/lot-view?lot_id=24566411
24566421,46A/7/32,46A,7," 868,730,000.00 "," 10,900,000.00 "," 43,436,500.00 ",0,On sale,27.07.2026 09:00,7,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,17,https://e-auksion.uz/lot-view?lot_id=24566421
24566423,46A/7/48,46A,7," 973,261,000.00 "," 10,900,000.00 "," 48,663,050.00 ",0,On sale,27.07.2026 09:00,9,9,89.29,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,72.78,0,16.51,15,https://e-auksion.uz/lot-view?lot_id=24566423
24566439,46A/8/46,46A,8," 751,555,000.00 "," 10,900,000.00 "," 37,577,750.00 ",0,On sale,27.07.2026 09:00,9,9,68.95,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,58.7,0,10.25,21,https://e-auksion.uz/lot-view?lot_id=24566439
24566446,44A/2/29,44A,2," 872,981,000.00 "," 10,900,000.00 "," 43,649,050.00 ",0,On sale,27.07.2026 09:00,5,9,80.09,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,63.7,0,16.39,6,https://e-auksion.uz/lot-view?lot_id=24566446
24540575,44A/8/32,44A,8," 954,295,000.00 "," 10,900,000.00 "," 47,714,750.00 ",0,On sale,27.07.2026 09:00,6,7,87.55,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,59.85,8.71,27.7,59,https://e-auksion.uz/lot-view?lot_id=24540575
24540580,44A/8/22,44A,8," 894,166,000.00 "," 11,900,000.00 "," 44,708,300.00 ",0,On sale,27.07.2026 09:00,4,7,75.14,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,42.99,15.2,32.15,15,https://e-auksion.uz/lot-view?lot_id=24540580
24540589,44A/8/34,44A,8," 894,166,000.00 "," 11,900,000.00 "," 44,708,300.00 ",0,On sale,27.07.2026 09:00,6,7,75.14,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,42.99,15.2,32.15,27,https://e-auksion.uz/lot-view?lot_id=24540589
24566302,44B/2/47,44B,2," 844,750,000.00 "," 10,900,000.00 "," 42,237,500.00 ",0,On sale,27.07.2026 09:00,8,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,4,https://e-auksion.uz/lot-view?lot_id=24566302
24566311,46A/3/46,46A,3," 772,156,000.00 "," 10,900,000.00 "," 38,607,800.00 ",0,On sale,27.07.2026 09:00,9,9,70.84,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.59,0,10.25,13,https://e-auksion.uz/lot-view?lot_id=24566311
24566317,44B/6/42,44B,6," 953,750,000.00 "," 10,900,000.00 "," 47,687,500.00 ",0,On sale,27.07.2026 09:00,7,9,87.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,68.4,0,19.1,44,https://e-auksion.uz/lot-view?lot_id=24566317
24566326,44B/6/47,44B,6," 844,750,000.00 "," 10,900,000.00 "," 42,237,500.00 ",0,On sale,27.07.2026 09:00,8,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,9,https://e-auksion.uz/lot-view?lot_id=24566326
24566335,44B/6/45,44B,6," 756,460,000.00 "," 10,900,000.00 "," 37,823,000.00 ",0,On sale,27.07.2026 09:00,8,9,69.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,52.2,0,17.2,11,https://e-auksion.uz/lot-view?lot_id=24566335
24566341,44B/2/38,44B,2," 844,750,000.00 "," 10,900,000.00 "," 42,237,500.00 ",0,On sale,27.07.2026 09:00,7,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,5,https://e-auksion.uz/lot-view?lot_id=24566341
24566350,44A/7/49,44A,7," 888,459,000.00 "," 10,900,000.00 "," 44,422,950.00 ",0,On sale,27.07.2026 09:00,11,12,81.51,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,60.58,0,20.93,5,https://e-auksion.uz/lot-view?lot_id=24566350
24566361,45D/2/8,45D,2," 904,918,000.00 "," 10,900,000.00 "," 45,245,900.00 ",0,On sale,27.07.2026 09:00,2,12,83.02,0,2027-yilning 2 choragida,Tamirsiz holda (korobka),0,0,0,2,https://e-auksion.uz/lot-view?lot_id=24566361
24566371,45D/7/11,45D,7," 904,918,000.00 "," 10,900,000.00 "," 45,245,900.00 ",0,On sale,27.07.2026 09:00,2,9,83.02,0,2027-yilning 2 choragida,Tamirsiz holda (korobka),0,0,0,3,https://e-auksion.uz/lot-view?lot_id=24566371
24566376,45D/8/10,45D,8," 767,142,000.00 "," 10,900,000.00 "," 38,357,100.00 ",0,On sale,27.07.2026 09:00,2,9,70.38,0,2027-yilning 2 choragida,Tamirsiz holda (korobka),0,0,0,8,https://e-auksion.uz/lot-view?lot_id=24566376
24566386,45D/10/6,45D,1," 739,892,000.00 "," 10,900,000.00 "," 36,994,600.00 ",0,On sale,27.07.2026 09:00,2,9,67.88,0,2027-yilning 2 choragida,Tamirsiz holda (korobka),0,0,0,14,https://e-auksion.uz/lot-view?lot_id=24566386
