lot_number,name, price , price_per_sqm , deposit ,applications,status,auction_end,unit_floor,building_floors,total_area,rooms,completion_term,handover_status,living_area,kitchen_area,auxiliary_area,views,url
23975552,46A/2/41," $868,730,000.00 "," $10,900,000.00 "," $43,436,500.00 ",0,On sale,19.06.2026 09:00,8,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,,https://e-auksion.uz/lot-view?lot_id=23975552
23975558,46A/3/44," $868,730,000.00 "," $10,900,000.00 "," $43,436,500.00 ",0,On sale,19.06.2026 09:00,9,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,,https://e-auksion.uz/lot-view?lot_id=23975558
23975564,46A/3/41," $868,730,000.00 "," $10,900,000.00 "," $43,436,500.00 ",0,On sale,19.06.2026 09:00,8,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,,https://e-auksion.uz/lot-view?lot_id=23975564
23975568,46A/4/29," $902,956,000.00 "," $10,900,000.00 "," $45,147,800.00 ",0,On sale,19.06.2026 09:00,9,12,82.84,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,61.63,0,21.21,,https://e-auksion.uz/lot-view?lot_id=23975568
23975577,46A/9/31," $902,956,000.00 "," $10,900,000.00 "," $45,147,800.00 ",0,On sale,19.06.2026 09:00,8,12,82.84,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,61.63,0,21.21,,https://e-auksion.uz/lot-view?lot_id=23975577
23975582,44A/7/44," $888,459,000.00 "," $10,900,000.00 "," $44,422,950.00 ",0,On sale,19.06.2026 09:00,10,12,81.51,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,60.58,0,20.93,,https://e-auksion.uz/lot-view?lot_id=23975582
23975588,44A/7/55," $854,887,000.00 "," $10,900,000.00 "," $42,744,350.00 ",0,On sale,19.06.2026 09:00,12,12,78.43,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,60.92,0,17.51,,https://e-auksion.uz/lot-view?lot_id=23975588
23975470,46A/6/51," $748,458,000.00 "," $12,900,000.00 "," $37,422,900.00 ",0,On sale,19.06.2026 09:00,12,12,58.02,2,2027-yilning 2-choragida,To'liq bitkazilgan holda,45.04,0,12.98,,https://e-auksion.uz/lot-view?lot_id=23975470
23975476,44B/6/45," $756,460,000.00 "," $10,900,000.00 "," $37,823,000.00 ",0,On sale,19.06.2026 09:00,8,9,69.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,52.2,0,17.2,,https://e-auksion.uz/lot-view?lot_id=23975476
23975483,44B/2/52," $745,560,000.00 "," $10,900,000.00 "," $37,278,000.00 ",0,On sale,19.06.2026 09:00,9,9,68.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,50.5,0,17.9,,https://e-auksion.uz/lot-view?lot_id=23975483
23975492,44B/6/54," $953,750,000.00 "," $10,900,000.00 "," $47,687,500.00 ",0,On sale,19.06.2026 09:00,9,9,87.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,68.4,0,19.1,,https://e-auksion.uz/lot-view?lot_id=23975492
23975502,44B/2/33," $756,460,000.00 "," $10,900,000.00 "," $37,823,000.00 ",0,On sale,19.06.2026 09:00,6,9,69.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,52.2,0,17.2,1,https://e-auksion.uz/lot-view?lot_id=23975502
23975509,44B/2/21," $756,460,000.00 "," $10,900,000.00 "," $37,823,000.00 ",0,On sale,19.06.2026 09:00,4,9,69.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,52.2,0,17.2,,https://e-auksion.uz/lot-view?lot_id=23975509
23975529,44A/4/16," $894,166,000.00 "," $11,900,000.00 "," $44,708,300.00 ",0,On sale,19.06.2026 09:00,3,7,75.14,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,42.99,15.2,16.95,,https://e-auksion.uz/lot-view?lot_id=23975529
23975539,46A/2/14," $868,730,000.00 "," $10,900,000.00 "," $43,436,500.00 ",0,On sale,19.06.2026 09:00,4,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,9,https://e-auksion.uz/lot-view?lot_id=23975539
23975548,46A/2/28," $772,156,000.00 "," $10,900,000.00 "," $38,607,800.00 ",0,On sale,19.06.2026 09:00,6,9,70.84,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.59,0,10.25,,https://e-auksion.uz/lot-view?lot_id=23975548
23975556,46A/1/38," $820,182,000.00 "," $12,900,000.00 "," $41,009,100.00 ",0,On sale,19.06.2026 09:00,9,12,63.58,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,51.33,0,12.25,,https://e-auksion.uz/lot-view?lot_id=23975556
23975561,46A/2/29," $868,730,000.00 "," $10,900,000.00 "," $43,436,500.00 ",0,On sale,19.06.2026 09:00,6,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,,https://e-auksion.uz/lot-view?lot_id=23975561
23975566,46A/3/48," $973,261,000.00 "," $10,900,000.00 "," $48,663,050.00 ",0,On sale,19.06.2026 09:00,9,9,89.29,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,72.78,0,16.51,,https://e-auksion.uz/lot-view?lot_id=23975566
23975574,46A/9/52," $850,854,000.00 "," $10,900,000.00 "," $42,542,700.00 ",0,On sale,19.06.2026 09:00,12,12,78.06,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,60.43,0,17.63,,https://e-auksion.uz/lot-view?lot_id=23975574
23975587,44A/7/45," $854,887,000.00 "," $10,900,000.00 "," $42,744,350.00 ",0,On sale,19.06.2026 09:00,10,12,78.43,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,60.92,0,17.51,,https://e-auksion.uz/lot-view?lot_id=23975587
23975516,44B/6/52," $745,560,000.00 "," $10,900,000.00 "," $37,278,000.00 ",0,On sale,19.06.2026 09:00,9,9,68.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,50.5,0,17.9,,https://e-auksion.uz/lot-view?lot_id=23975516
23975526,44A/5/52," $705,114,000.00 "," $12,900,000.00 "," $35,255,700.00 ",0,On sale,19.06.2026 09:00,11,12,54.66,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,41.55,0,13.11,,https://e-auksion.uz/lot-view?lot_id=23975526
23975544,46A/2/38," $868,730,000.00 "," $10,900,000.00 "," $43,436,500.00 ",0,On sale,19.06.2026 09:00,8,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,,https://e-auksion.uz/lot-view?lot_id=23975544
23975572,46A/9/47," $850,854,000.00 "," $10,900,000.00 "," $42,542,700.00 ",0,On sale,19.06.2026 09:00,11,12,78.06,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,60.43,0,17.63,,https://e-auksion.uz/lot-view?lot_id=23975572
23975580,44A/7/49," $888,459,000.00 "," $10,900,000.00 "," $44,422,950.00 ",0,On sale,19.06.2026 09:00,11,12,81.51,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,60.58,0,20.93,,https://e-auksion.uz/lot-view?lot_id=23975580
23975585,44A/7/54," $888,459,000.00 "," $10,900,000.00 "," $44,422,950.00 ",0,On sale,19.06.2026 09:00,12,12,81.51,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,60.58,0,20.93,,https://e-auksion.uz/lot-view?lot_id=23975585
23975591,44A/7/30," $854,887,000.00 "," $10,900,000.00 "," $42,744,350.00 ",0,On sale,19.06.2026 09:00,7,12,78.43,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,60.92,0,17.51,,https://e-auksion.uz/lot-view?lot_id=23975591
23975480,44B/6/49," $953,750,000.00 "," $10,900,000.00 "," $47,687,500.00 ",0,On sale,19.06.2026 09:00,9,9,87.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,68.4,0,19.1,,https://e-auksion.uz/lot-view?lot_id=23975480
23975490,44B/2/51," $756,460,000.00 "," $10,900,000.00 "," $37,823,000.00 ",0,On sale,19.06.2026 09:00,9,9,69.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,52.2,0,17.2,,https://e-auksion.uz/lot-view?lot_id=23975490
23975499,44B/2/54," $953,750,000.00 "," $10,900,000.00 "," $47,687,500.00 ",0,On sale,19.06.2026 09:00,9,9,87.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,68.4,0,19.1,,https://e-auksion.uz/lot-view?lot_id=23975499
23975507,44B/2/29," $844,750,000.00 "," $10,900,000.00 "," $42,237,500.00 ",0,On sale,19.06.2026 09:00,5,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,,https://e-auksion.uz/lot-view?lot_id=23975507
23975512,44B/2/47," $844,750,000.00 "," $10,900,000.00 "," $42,237,500.00 ",0,On sale,19.06.2026 09:00,8,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,,https://e-auksion.uz/lot-view?lot_id=23975512
