lot_number,Lot,Building,name, price , price_per_sqm , deposit ,applications,status,auction_end,unit_floor,building_floors,total_area,rooms,completion_term,handover_status,living_area,kitchen_area,auxiliary_area,views,url
24289843,46A,6,46A/6/46," $748,458,000.00 "," $12,900,000.00 "," $37,422,900.00 ",0,On sale,10.07.2026 09:00,11,12,58.02,2,2027-yilning 2-choragida,To'liq bitkazilgan holda,45.04,0,12.98,50,https://e-auksion.uz/lot-view?lot_id=24289843
24289846,46A,1,46A/1/48," $820,182,000.00 "," $12,900,000.00 "," $41,009,100.00 ",0,On sale,10.07.2026 09:00,11,12,63.58,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,51.33,0,12.25,21,https://e-auksion.uz/lot-view?lot_id=24289846
24289856,44A,4,44A/4/16," $894,166,000.00 "," $11,900,000.00 "," $44,708,300.00 ",0,On sale,10.07.2026 09:00,3,7,75.14,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,42.99,15.2,16.95,6,https://e-auksion.uz/lot-view?lot_id=24289856
24289873,44B,6,44B/6/54," $953,750,000.00 "," $10,900,000.00 "," $47,687,500.00 ",0,On sale,10.07.2026 09:00,9,9,87.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,68.4,0,19.1,10,https://e-auksion.uz/lot-view?lot_id=24289873
24289881,44A,5,44A/5/41," $693,532,000.00 "," $11,900,000.00 "," $34,676,600.00 ",0,On sale,10.07.2026 09:00,9,12,58.28,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,45.3,0,12.98,20,https://e-auksion.uz/lot-view?lot_id=24289881
24289883,44A,5,44A/5/51," $693,532,000.00 "," $11,900,000.00 "," $34,676,600.00 ",0,On sale,10.07.2026 09:00,11,12,58.28,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,45.3,0,12.98,15,https://e-auksion.uz/lot-view?lot_id=24289883
24289896,46A,9,46A/9/31," $902,956,000.00 "," $10,900,000.00 "," $45,147,800.00 ",0,On sale,10.07.2026 09:00,8,12,82.84,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,61.63,0,21.21,5,https://e-auksion.uz/lot-view?lot_id=24289896
24289897,43F,5,43F/5/37," $1,006,974,000.00 "," $12,900,000.00 "," $50,348,700.00 ",0,On sale,10.07.2026 09:00,8,12,78.06,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.43,0,17.63,8,https://e-auksion.uz/lot-view?lot_id=24289897
24289907,43F,5,43F/5/22," $1,006,974,000.00 "," $12,900,000.00 "," $50,348,700.00 ",0,On sale,10.07.2026 09:00,5,12,78.06,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.43,0,17.63,4,https://e-auksion.uz/lot-view?lot_id=24289907
24289919,43F,5,43F/5/54," $748,458,000.00 "," $12,900,000.00 "," $37,422,900.00 ",0,On sale,10.07.2026 09:00,12,12,58.02,2,2027-yilning 2-choragida,To'liq bitkazilgan holda,45.04,0,12.98,9,https://e-auksion.uz/lot-view?lot_id=24289919
24289924,43F,8,43F/8/32," $1,021,035,000.00 "," $12,900,000.00 "," $51,051,750.00 ",0,On sale,10.07.2026 09:00,6,7,79.15,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,51.46,8.52,27.69,15,https://e-auksion.uz/lot-view?lot_id=24289924
24289929,43F,8,43F/8/16," $1,097,532,000.00 "," $12,900,000.00 "," $54,876,600.00 ",0,On sale,10.07.2026 09:00,3,7,85.08,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,56.44,10.26,28.64,6,https://e-auksion.uz/lot-view?lot_id=24289929
24289938,43F,8,43F/8/40," $1,097,532,000.00 "," $12,900,000.00 "," $54,876,600.00 ",0,On sale,10.07.2026 09:00,7,7,85.08,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,56.44,10.26,28.64,2,https://e-auksion.uz/lot-view?lot_id=24289938
24289839,44A,1,44A/1/56," $693,532,000.00 "," $11,900,000.00 "," $34,676,600.00 ",0,On sale,10.07.2026 09:00,12,12,58.28,2,2027-yilning 2-choragida,To'liq bitkazilgan holda,45.3,0,12.98,14,https://e-auksion.uz/lot-view?lot_id=24289839
24289848,46A,1,46A/1/38," $820,182,000.00 "," $12,900,000.00 "," $41,009,100.00 ",0,On sale,10.07.2026 09:00,9,12,63.58,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,51.33,0,12.25,4,https://e-auksion.uz/lot-view?lot_id=24289848
24289862,44B,2,44B/2/52," $745,560,000.00 "," $10,900,000.00 "," $37,278,000.00 ",0,On sale,10.07.2026 09:00,9,9,68.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,50.5,0,17.9,8,https://e-auksion.uz/lot-view?lot_id=24289862
24289868,44B,2,44B/2/47," $844,750,000.00 "," $10,900,000.00 "," $42,237,500.00 ",0,On sale,10.07.2026 09:00,8,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,6,https://e-auksion.uz/lot-view?lot_id=24289868
24289872,44B,6,44B/6/41," $844,750,000.00 "," $10,900,000.00 "," $42,237,500.00 ",0,On sale,10.07.2026 09:00,7,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,3,https://e-auksion.uz/lot-view?lot_id=24289872
24289885,44B,6,44B/6/42," $953,750,000.00 "," $10,900,000.00 "," $47,687,500.00 ",0,On sale,10.07.2026 09:00,7,9,87.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,68.4,0,19.1,1,https://e-auksion.uz/lot-view?lot_id=24289885
24289890,46A,2,46A/2/35," $868,730,000.00 "," $10,900,000.00 "," $43,436,500.00 ",0,On sale,10.07.2026 09:00,7,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,1,https://e-auksion.uz/lot-view?lot_id=24289890
24289901,44A,7,44A/7/34," $888,459,000.00 "," $10,900,000.00 "," $44,422,950.00 ",0,On sale,10.07.2026 09:00,8,12,81.51,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,60.58,0,20.93,3,https://e-auksion.uz/lot-view?lot_id=24289901
24289909,43F,5,43F/5/28," $1,068,636,000.00 "," $12,900,000.00 "," $53,431,800.00 ",0,On sale,10.07.2026 09:00,6,12,82.84,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,61.63,0,21.21,4,https://e-auksion.uz/lot-view?lot_id=24289909
24289922,43F,5,43F/5/32," $1,006,974,000.00 "," $12,900,000.00 "," $50,348,700.00 ",0,On sale,10.07.2026 09:00,7,12,78.06,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.43,0,17.63,0,https://e-auksion.uz/lot-view?lot_id=24289922
24289937,43F,8,43F/8/27," $1,021,035,000.00 "," $12,900,000.00 "," $51,051,750.00 ",0,On sale,10.07.2026 09:00,5,7,79.15,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,51.46,8.52,27.69,0,https://e-auksion.uz/lot-view?lot_id=24289937
24286852,44B,6,44B/6/30," $953,750,000.00 "," $10,900,000.00 "," $47,687,500.00 ",1,On sale,10.07.2026 09:00,5,9,87.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,68.4,0,19.1,18,https://e-auksion.uz/lot-view?lot_id=24286852
24289840,46A,6,46A/6/41," $748,458,000.00 "," $12,900,000.00 "," $37,422,900.00 ",0,On sale,10.07.2026 09:00,10,12,58.02,2,2027-yilning 2-choragida,To'liq bitkazilgan holda,45.04,0,12.98,6,https://e-auksion.uz/lot-view?lot_id=24289840
24289860,44B,2,44B/2/51," $756,460,000.00 "," $10,900,000.00 "," $37,823,000.00 ",0,On sale,10.07.2026 09:00,9,9,69.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,52.2,0,17.2,2,https://e-auksion.uz/lot-view?lot_id=24289860
24289870,44B,6,44B/6/46," $745,560,000.00 "," $10,900,000.00 "," $37,278,000.00 ",0,On sale,10.07.2026 09:00,8,9,68.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,50.5,0,17.9,5,https://e-auksion.uz/lot-view?lot_id=24289870
24289875,44A,5,44A/5/55," $888,459,000.00 "," $10,900,000.00 "," $44,422,950.00 ",0,On sale,10.07.2026 09:00,11,12,81.51,3,2027-yilning 2 choragida ,To'liq bitkazilgan holda,60.58,0,20.93,1,https://e-auksion.uz/lot-view?lot_id=24289875
24289880,44B,6,44B/6/48," $953,750,000.00 "," $10,900,000.00 "," $47,687,500.00 ",0,On sale,10.07.2026 09:00,8,9,87.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,68.4,0,19.1,3,https://e-auksion.uz/lot-view?lot_id=24289880
24289884,44B,6,44B/6/39," $756,460,000.00 "," $10,900,000.00 "," $37,823,000.00 ",0,On sale,10.07.2026 09:00,7,9,69.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,52.2,0,17.2,8,https://e-auksion.uz/lot-view?lot_id=24289884
