lot_number,Lot,name, price , price_per_sqm , deposit ,applications,status,auction_end,unit_floor,building_floors,total_area,rooms,completion_term,handover_status,living_area,kitchen_area,auxiliary_area,views,url
24093641,44B,44B/2/21," $756,460,000.00 "," $10,900,000.00 "," $37,823,000.00 ",0,On sale,30.06.2026 09:00,4,9,69.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,52.2,0,17.2,7,https://e-auksion.uz/lot-view?lot_id=24093641
24093649,44A,44A/4/39," $894,166,000.00 "," $11,900,000.00 "," $44,708,300.00 ",0,On sale,30.06.2026 09:00,7,7,75.14,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,42.99,15.2,16.95,1,https://e-auksion.uz/lot-view?lot_id=24093649
24093658,46A,46A/1/54," $850,854,000.00 "," $10,900,000.00 "," $42,542,700.00 ",0,On sale,30.06.2026 09:00,12,12,78.06,3,2027-yilning 2 choragida ,To'liq bitkazilgan holda,60.43,0,17.63,4,https://e-auksion.uz/lot-view?lot_id=24093658
24093668,46A,46A/2/41," $868,730,000.00 "," $10,900,000.00 "," $43,436,500.00 ",0,On sale,30.06.2026 09:00,8,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,1,https://e-auksion.uz/lot-view?lot_id=24093668
24093679,46A,46A/2/38," $868,730,000.00 "," $10,900,000.00 "," $43,436,500.00 ",0,On sale,30.06.2026 09:00,8,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,4,https://e-auksion.uz/lot-view?lot_id=24093679
24093688,46A,46A/9/52," $850,854,000.00 "," $10,900,000.00 "," $42,542,700.00 ",0,On sale,30.06.2026 09:00,12,12,78.06,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,60.43,0,17.63,3,https://e-auksion.uz/lot-view?lot_id=24093688
24093693,44A,44A/7/39," $888,459,000.00 "," $10,900,000.00 "," $44,422,950.00 ",0,On sale,30.06.2026 09:00,9,12,81.51,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,60.58,0,20.93,2,https://e-auksion.uz/lot-view?lot_id=24093693
24093699,43F,43F/5/11," $820,182,000.00 "," $12,900,000.00 "," $41,009,100.00 ",0,On sale,30.06.2026 09:00,3,12,63.58,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,40.21,11.12,23.37,3,https://e-auksion.uz/lot-view?lot_id=24093699
24093709,43F,43F/5/37," $1,006,974,000.00 "," $12,900,000.00 "," $50,348,700.00 ",0,On sale,30.06.2026 09:00,8,12,78.06,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.43,0,17.63,1,https://e-auksion.uz/lot-view?lot_id=24093709
24093724,43F,43F/8/39," $1,021,035,000.00 "," $12,900,000.00 "," $51,051,750.00 ",0,On sale,30.06.2026 09:00,7,7,79.15,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,51.46,8.52,27.69,0,https://e-auksion.uz/lot-view?lot_id=24093724
24093731,43F,43F/8/26," $1,021,035,000.00 "," $12,900,000.00 "," $51,051,750.00 ",0,On sale,30.06.2026 09:00,5,7,79.15,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,51.46,8.52,27.69,1,https://e-auksion.uz/lot-view?lot_id=24093731
24093739,43F,43F/8/22," $1,097,532,000.00 "," $12,900,000.00 "," $54,876,600.00 ",0,On sale,30.06.2026 09:00,4,7,85.08,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,56.44,10.26,28.64,2,https://e-auksion.uz/lot-view?lot_id=24093739
24093603,46A,46A/6/36," $748,458,000.00 "," $12,900,000.00 "," $37,422,900.00 ",0,On sale,30.06.2026 09:00,9,12,58.02,2,2027-yilning 2-choragida,To'liq bitkazilgan holda,45.04,0,12.98,3,https://e-auksion.uz/lot-view?lot_id=24093603
24093625,44B,44B/6/48," $953,750,000.00 "," $10,900,000.00 "," $47,687,500.00 ",0,On sale,30.06.2026 09:00,8,9,87.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,68.4,0,19.1,2,https://e-auksion.uz/lot-view?lot_id=24093625
24093655,44A,44A/4/28," $894,166,000.00 "," $11,900,000.00 "," $44,708,300.00 ",0,On sale,30.06.2026 09:00,5,7,75.14,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,42.99,15.2,16.95,3,https://e-auksion.uz/lot-view?lot_id=24093655
24093656,46A,46A/1/33," $820,182,000.00 "," $12,900,000.00 "," $41,009,100.00 ",0,On sale,30.06.2026 09:00,8,12,63.58,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,51.33,0,12.25,3,https://e-auksion.uz/lot-view?lot_id=24093656
24093661,46A,46A/4/25," $902,956,000.00 "," $10,900,000.00 "," $45,147,800.00 ",0,On sale,30.06.2026 09:00,8,12,82.84,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,61.63,0,21.21,6,https://e-auksion.uz/lot-view?lot_id=24093661
24093673,46A,46A/2/47," $868,730,000.00 "," $10,900,000.00 "," $43,436,500.00 ",0,On sale,30.06.2026 09:00,9,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,2,https://e-auksion.uz/lot-view?lot_id=24093673
24093683,43F,43F/5/9," $748,458,000.00 "," $12,900,000.00 "," $37,422,900.00 ",0,On sale,30.06.2026 09:00,3,12,58.02,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,45.04,0,12.98,2,https://e-auksion.uz/lot-view?lot_id=24093683
24093701,43F,43F/5/26," $820,182,000.00 "," $12,900,000.00 "," $41,009,100.00 ",0,On sale,30.06.2026 09:00,6,12,63.58,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,40.21,11.12,23.37,1,https://e-auksion.uz/lot-view?lot_id=24093701
24093713,43F,43F/5/42," $1,006,974,000.00 "," $12,900,000.00 "," $50,348,700.00 ",0,On sale,30.06.2026 09:00,9,12,78.06,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.43,0,17.63,0,https://e-auksion.uz/lot-view?lot_id=24093713
24093719,43F,43F/5/53," $1,068,636,000.00 "," $12,900,000.00 "," $53,431,800.00 ",0,On sale,30.06.2026 09:00,11,12,82.84,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,61.63,0,21.21,0,https://e-auksion.uz/lot-view?lot_id=24093719
24093741,43F,43F/5/33," $1,068,636,000.00 "," $12,900,000.00 "," $53,431,800.00 ",0,On sale,30.06.2026 09:00,7,12,82.84,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,61.63,0,21.21,0,https://e-auksion.uz/lot-view?lot_id=24093741
24093602,44B,44B/2/38," $844,750,000.00 "," $10,900,000.00 "," $42,237,500.00 ",0,On sale,30.06.2026 09:00,7,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,0,https://e-auksion.uz/lot-view?lot_id=24093602
24093607,44A,44A/5/56," $693,532,000.00 "," $11,900,000.00 "," $34,676,600.00 ",0,On sale,30.06.2026 09:00,12,12,58.28,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,45.3,0,12.98,1,https://e-auksion.uz/lot-view?lot_id=24093607
24093615,44B,44B/2/53," $844,750,000.00 "," $10,900,000.00 "," $42,237,500.00 ",0,On sale,30.06.2026 09:00,9,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,0,https://e-auksion.uz/lot-view?lot_id=24093615
24093619,44B,44B/6/43," $953,750,000.00 "," $10,900,000.00 "," $47,687,500.00 ",0,On sale,30.06.2026 09:00,8,9,87.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,68.4,0,19.1,1,https://e-auksion.uz/lot-view?lot_id=24093619
24093627,44B,44B/2/47," $844,750,000.00 "," $10,900,000.00 "," $42,237,500.00 ",0,On sale,30.06.2026 09:00,8,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,2,https://e-auksion.uz/lot-view?lot_id=24093627
24093644,44B,44B/6/50," $844,750,000.00 "," $10,900,000.00 "," $42,237,500.00 ",0,On sale,30.06.2026 09:00,9,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,2,https://e-auksion.uz/lot-view?lot_id=24093644
24093651,44A,44A/4/21," $894,166,000.00 "," $11,900,000.00 "," $44,708,300.00 ",0,On sale,30.06.2026 09:00,4,7,75.14,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,42.99,15.2,16.95,1,https://e-auksion.uz/lot-view?lot_id=24093651
24093659,46A,46A/1/13," $820,182,000.00 "," $12,900,000.00 "," $41,009,100.00 ",0,On sale,30.06.2026 09:00,4,12,63.58,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,51.33,0,12.25,4,https://e-auksion.uz/lot-view?lot_id=24093659
24093676,46A,46A/4/29," $902,956,000.00 "," $10,900,000.00 "," $45,147,800.00 ",0,On sale,30.06.2026 09:00,9,12,82.84,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,61.63,0,21.21,3,https://e-auksion.uz/lot-view?lot_id=24093676
24093686,43F,43F/5/34," $748,458,000.00 "," $12,900,000.00 "," $37,422,900.00 ",0,On sale,30.06.2026 09:00,8,12,58.02,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,45.04,0,12.98,2,https://e-auksion.uz/lot-view?lot_id=24093686
24093695,46A,46A/2/44," $868,730,000.00 "," $10,900,000.00 "," $43,436,500.00 ",0,On sale,30.06.2026 09:00,9,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,1,https://e-auksion.uz/lot-view?lot_id=24093695
24093698,43F,43F/5/54," $748,458,000.00 "," $12,900,000.00 "," $37,422,900.00 ",0,On sale,30.06.2026 09:00,12,12,58.02,2,2027-yilning 2-choragida,To'liq bitkazilgan holda,45.04,0,12.98,0,https://e-auksion.uz/lot-view?lot_id=24093698
24093710,43F,43F/5/47," $1,006,974,000.00 "," $12,900,000.00 "," $50,348,700.00 ",0,On sale,30.06.2026 09:00,10,12,78.06,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.43,0,17.63,2,https://e-auksion.uz/lot-view?lot_id=24093710
24093717,43F,43F/5/43," $1,068,636,000.00 "," $12,900,000.00 "," $53,431,800.00 ",0,On sale,30.06.2026 09:00,9,12,82.84,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,61.63,0,21.21,0,https://e-auksion.uz/lot-view?lot_id=24093717
24093727,43F,43F/8/15," $1,021,035,000.00 "," $12,900,000.00 "," $51,051,750.00 ",0,On sale,30.06.2026 09:00,3,7,79.15,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,51.46,8.52,27.69,2,https://e-auksion.uz/lot-view?lot_id=24093727
24093738,43F,43F/5/58," $1,068,636,000.00 "," $12,900,000.00 "," $53,431,800.00 ",0,On sale,30.06.2026 09:00,12,12,82.84,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,61.63,0,21.21,1,https://e-auksion.uz/lot-view?lot_id=24093738
24093613,44B,44B/2/44," $844,750,000.00 "," $10,900,000.00 "," $42,237,500.00 ",0,On sale,30.06.2026 09:00,8,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,0,https://e-auksion.uz/lot-view?lot_id=24093613
24093622,44A,44A/1/55," $888,459,000.00 "," $10,900,000.00 "," $44,422,950.00 ",0,On sale,30.06.2026 09:00,11,12,81.51,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,60.58,0,20.93,1,https://e-auksion.uz/lot-view?lot_id=24093622
24093631,44B,44B/2/39," $756,460,000.00 "," $10,900,000.00 "," $37,823,000.00 ",0,On sale,30.06.2026 09:00,7,9,69.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,52.2,0,17.2,0,https://e-auksion.uz/lot-view?lot_id=24093631
24093639,44B,44B/6/47," $844,750,000.00 "," $10,900,000.00 "," $42,237,500.00 ",0,On sale,30.06.2026 09:00,8,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,0,https://e-auksion.uz/lot-view?lot_id=24093639
24093653,44A,44A/4/22," $894,166,000.00 "," $11,900,000.00 "," $44,708,300.00 ",0,On sale,30.06.2026 09:00,4,7,75.14,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,42.99,15.2,16.95,2,https://e-auksion.uz/lot-view?lot_id=24093653
24093660,46A,46A/2/43," $973,261,000.00 "," $10,900,000.00 "," $48,663,050.00 ",0,On sale,30.06.2026 09:00,9,9,89.29,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,72.78,0,16.51,3,https://e-auksion.uz/lot-view?lot_id=24093660
24093669,46A,46A/9/41," $902,956,000.00 "," $10,900,000.00 "," $45,147,800.00 ",0,On sale,30.06.2026 09:00,10,12,82.84,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,61.63,0,21.21,3,https://e-auksion.uz/lot-view?lot_id=24093669
24093678,44A,44A/7/55," $854,887,000.00 "," $10,900,000.00 "," $42,744,350.00 ",0,On sale,30.06.2026 09:00,12,12,78.43,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,60.92,0,17.51,2,https://e-auksion.uz/lot-view?lot_id=24093678
24093685,44A,44A/7/54," $888,459,000.00 "," $10,900,000.00 "," $44,422,950.00 ",0,On sale,30.06.2026 09:00,12,12,81.51,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,60.58,0,20.93,0,https://e-auksion.uz/lot-view?lot_id=24093685
24093694,44A,44A/7/34," $888,459,000.00 "," $10,900,000.00 "," $44,422,950.00 ",0,On sale,30.06.2026 09:00,8,12,81.51,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,60.58,0,20.93,2,https://e-auksion.uz/lot-view?lot_id=24093694
24093601,44B,44B/2/54," $953,750,000.00 "," $10,900,000.00 "," $47,687,500.00 ",0,On sale,30.06.2026 09:00,9,9,87.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,68.4,0,19.1,1,https://e-auksion.uz/lot-view?lot_id=24093601
24093610,44B,44B/6/52," $745,560,000.00 "," $10,900,000.00 "," $37,278,000.00 ",0,On sale,30.06.2026 09:00,9,9,68.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,50.5,0,17.9,2,https://e-auksion.uz/lot-view?lot_id=24093610
24093628,46A,46A/6/31," $748,458,000.00 "," $12,900,000.00 "," $37,422,900.00 ",0,On sale,30.06.2026 09:00,8,12,58.02,2,2027-yilning 2-choragida,To'liq bitkazilgan holda,45.04,0,12.98,4,https://e-auksion.uz/lot-view?lot_id=24093628
24093636,44B,44B/6/38," $844,750,000.00 "," $10,900,000.00 "," $42,237,500.00 ",0,On sale,30.06.2026 09:00,7,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,0,https://e-auksion.uz/lot-view?lot_id=24093636
24093645,44B,44B/6/41," $844,750,000.00 "," $10,900,000.00 "," $42,237,500.00 ",0,On sale,30.06.2026 09:00,7,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,3,https://e-auksion.uz/lot-view?lot_id=24093645
