lot_number,Lot,name, price , price_per_sqm , deposit ,applications,status,auction_end,unit_floor,building_floors,total_area,rooms,completion_term,handover_status,living_area,kitchen_area,auxiliary_area,views,url
24093598,44A,44A/1/56," $693,532,000.00 "," $11,900,000.00 "," $34,676,600.00 ",0,On sale,30.06.2026 09:00,12,12,58.28,2,2027-yilning 2-choragida,To'liq bitkazilgan holda,45.3,0,12.98,4,https://e-auksion.uz/lot-view?lot_id=24093598
24093612,44A,44A/5/41," $693,532,000.00 "," $11,900,000.00 "," $34,676,600.00 ",0,On sale,30.06.2026 09:00,9,12,58.28,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,45.3,0,12.98,10,https://e-auksion.uz/lot-view?lot_id=24093612
24093623,44B,44B/6/54," $953,750,000.00 "," $10,900,000.00 "," $47,687,500.00 ",0,On sale,30.06.2026 09:00,9,9,87.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,68.4,0,19.1,2,https://e-auksion.uz/lot-view?lot_id=24093623
24093633,44B,44B/6/39," $756,460,000.00 "," $10,900,000.00 "," $37,823,000.00 ",0,On sale,30.06.2026 09:00,7,9,69.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,52.2,0,17.2,3,https://e-auksion.uz/lot-view?lot_id=24093633
24093643,44B,44B/6/44," $844,750,000.00 "," $10,900,000.00 "," $42,237,500.00 ",0,On sale,30.06.2026 09:00,8,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,0,https://e-auksion.uz/lot-view?lot_id=24093643
24093652,44A,44A/4/40," $894,166,000.00 "," $11,900,000.00 "," $44,708,300.00 ",0,On sale,30.06.2026 09:00,7,7,75.14,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,42.99,15.2,16.95,1,https://e-auksion.uz/lot-view?lot_id=24093652
24093662,46A,46A/1/43," $820,182,000.00 "," $12,900,000.00 "," $41,009,100.00 ",0,On sale,30.06.2026 09:00,10,12,63.58,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,51.33,0,12.25,4,https://e-auksion.uz/lot-view?lot_id=24093662
24093670,46A,46A/9/31," $902,956,000.00 "," $10,900,000.00 "," $45,147,800.00 ",0,On sale,30.06.2026 09:00,8,12,82.84,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,61.63,0,21.21,9,https://e-auksion.uz/lot-view?lot_id=24093670
24093684,44A,44A/7/24," $888,459,000.00 "," $10,900,000.00 "," $44,422,950.00 ",0,On sale,30.06.2026 09:00,6,12,81.51,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,60.58,0,20.93,13,https://e-auksion.uz/lot-view?lot_id=24093684
24093696,46A,46A/9/47," $850,854,000.00 "," $10,900,000.00 "," $42,542,700.00 ",0,On sale,30.06.2026 09:00,11,12,78.06,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,60.43,0,17.63,5,https://e-auksion.uz/lot-view?lot_id=24093696
