lot_number,name, price , price_per_sqm , deposit ,applications,status,auction_end,unit_floor,building_floors,total_area,rooms,completion_term,handover_status,living_area,kitchen_area,auxiliary_area,views,url
23986623,44A/1/56," $693,532,000.00 "," $11,900,000.00 "," $34,676,600.00 ",0,On sale,22.06.2026 09:00,12,12,58.28,2,2027-yilning 2-choragida,To'liq bitkazilgan holda,45.3,0,12.98,3,https://e-auksion.uz/lot-view?lot_id=23986623
23986632,44B/6/47," $844,750,000.00 "," $10,900,000.00 "," $42,237,500.00 ",0,On sale,22.06.2026 09:00,8,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,,https://e-auksion.uz/lot-view?lot_id=23986632
23986644,44B/6/37," $953,750,000.00 "," $10,900,000.00 "," $47,687,500.00 ",0,On sale,22.06.2026 09:00,7,9,87.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,68.4,0,19.1,,https://e-auksion.uz/lot-view?lot_id=23986644
23986649,44B/2/23," $844,750,000.00 "," $10,900,000.00 "," $42,237,500.00 ",0,On sale,22.06.2026 09:00,4,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,,https://e-auksion.uz/lot-view?lot_id=23986649
23986656,44B/6/48," $953,750,000.00 "," $10,900,000.00 "," $47,687,500.00 ",0,On sale,22.06.2026 09:00,8,9,87.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,68.4,0,19.1,,https://e-auksion.uz/lot-view?lot_id=23986656
23986664,44B/2/45," $756,460,000.00 "," $10,900,000.00 "," $37,823,000.00 ",0,On sale,22.06.2026 09:00,8,9,69.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,52.2,0,17.2,1,https://e-auksion.uz/lot-view?lot_id=23986664
23986673,44A/5/46," $693,532,000.00 "," $11,900,000.00 "," $34,676,600.00 ",0,On sale,22.06.2026 09:00,10,12,58.28,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,45.3,0,12.98,,https://e-auksion.uz/lot-view?lot_id=23986673
23986693,46A/1/13," $820,182,000.00 "," $12,900,000.00 "," $41,009,100.00 ",0,On sale,22.06.2026 09:00,4,12,63.58,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,51.33,0,12.25,,https://e-auksion.uz/lot-view?lot_id=23986693
23986697,46A/1/54," $850,854,000.00 "," $10,900,000.00 "," $42,542,700.00 ",0,On sale,22.06.2026 09:00,12,12,78.06,3,2027-yilning 2 choragida ,To'liq bitkazilgan holda,60.43,0,17.63,,https://e-auksion.uz/lot-view?lot_id=23986697
23986705,46A/1/43," $820,182,000.00 "," $12,900,000.00 "," $41,009,100.00 ",0,On sale,22.06.2026 09:00,10,12,63.58,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,51.33,0,12.25,,https://e-auksion.uz/lot-view?lot_id=23986705
