lot_number,name, price , price_per_sqm , deposit ,applications,status,auction_end,unit_floor,building_floors,total_area,rooms,completion_term,handover_status,living_area,kitchen_area,auxiliary_area,views,url
23954218,43F/5/13,"$1,068,636,000.00 ","$12,900,000.00 ","$53,431,800.00 ",0,On sale,22.06.2026 09:00,3,12,82.84,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,61.63,0,21.21,49,https://e-auksion.uz/lot-view?lot_id=23954218
23954249,43F/8/13,"$1,097,532,000.00 ","$12,900,000.00 ","$54,876,600.00 ",0,On sale,22.06.2026 09:00,3,7,85.08,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,56.44,10.26,28.64,8,https://e-auksion.uz/lot-view?lot_id=23954249
23954192,43F/5/34,"$748,458,000.00 ","$12,900,000.00 ","$37,422,900.00 ",0,On sale,22.06.2026 09:00,8,12,58.02,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,45.04,0,12.98,17,https://e-auksion.uz/lot-view?lot_id=23954192
23954236,43F/5/30,"$695,181,000.00 ","$12,900,000.00 ","$34,759,050.00 ",0,On sale,22.06.2026 09:00,7,12,53.89,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,40.81,0,13.08,14,https://e-auksion.uz/lot-view?lot_id=23954236
23954211,43F/5/52,"$1,006,974,000.00 ","$12,900,000.00 ","$50,348,700.00 ",0,On sale,22.06.2026 09:00,11,12,78.06,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.43,0,17.63,,https://e-auksion.uz/lot-view?lot_id=23954211
23954204,43F/5/23,"$1,068,636,000.00 ","$12,900,000.00 ","$53,431,800.00 ",0,On sale,22.06.2026 09:00,5,12,82.84,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,61.63,0,21.21,2,https://e-auksion.uz/lot-view?lot_id=23954204
23954227,43F/5/36,"$820,182,000.00 ","$12,900,000.00 ","$41,009,100.00 ",1,On sale,22.06.2026 09:00,8,12,63.58,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,40.21,11.12,23.37,25,https://e-auksion.uz/lot-view?lot_id=23954227
23954195,43F/5/39,"$748,458,000.00 ","$12,900,000.00 ","$37,422,900.00 ",0,On sale,22.06.2026 09:00,9,12,58.02,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,45.04,0,12.98,,https://e-auksion.uz/lot-view?lot_id=23954195
23954232,43F/5/25,"$695,181,000.00 ","$12,900,000.00 ","$34,759,050.00 ",0,On sale,22.06.2026 09:00,6,12,53.89,2,2027-yilning 2-choragida,To'liq bitkazilgan holda,40.81,0,13.08,14,https://e-auksion.uz/lot-view?lot_id=23954232
23954220,43F/5/31,"$820,182,000.00 ","$12,900,000.00 ","$41,009,100.00 ",0,On sale,22.06.2026 09:00,7,12,63.58,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,40.21,11.12,23.37,1,https://e-auksion.uz/lot-view?lot_id=23954220
23954212,43F/5/41,"$820,182,000.00 ","$12,900,000.00 ","$41,009,100.00 ",1,On sale,22.06.2026 09:00,9,12,63.58,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,40.21,11.12,23.37,7,https://e-auksion.uz/lot-view?lot_id=23954212
23954222,43F/5/32,"$1,006,974,000.00 ","$12,900,000.00 ","$50,348,700.00 ",0,On sale,22.06.2026 09:00,7,12,78.06,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.43,0,17.63,3,https://e-auksion.uz/lot-view?lot_id=23954222
