lot_number,name,lot_number_extracted,building_number, price , price_per_sqm , deposit ,applications,status,auction_end,unit_floor,building_floors,total_area,rooms,completion_term,handover_status,living_area,kitchen_area,auxiliary_area,views,url
24707615,44B/2/38,44B,2," 844,750,000.00 "," 10,900,000.00 "," 42,237,500.00 ",0,On sale,03.08.2026 09:00,7,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,66,https://e-auksion.uz/lot-view?lot_id=24707615
24707628,46A/3/47,46A,3," 868,730,000.00 "," 10,900,000.00 "," 43,436,500.00 ",0,On sale,03.08.2026 09:00,9,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,27,https://e-auksion.uz/lot-view?lot_id=24707628
24707631,46A/1/33,46A,1," 820,182,000.00 "," 12,900,000.00 "," 41,009,100.00 ",0,On sale,03.08.2026 09:00,8,12,63.58,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,51.33,0,12.25,23,https://e-auksion.uz/lot-view?lot_id=24707631
24707636,44B/6/39,44B,6," 756,460,000.00 "," 10,900,000.00 "," 37,823,000.00 ",0,On sale,03.08.2026 09:00,7,9,69.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,52.2,0,17.2,28,https://e-auksion.uz/lot-view?lot_id=24707636
24707644,46A/1/13,46A,1," 820,182,000.00 "," 12,900,000.00 "," 41,009,100.00 ",0,On sale,03.08.2026 09:00,4,12,63.58,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,51.33,0,12.25,20,https://e-auksion.uz/lot-view?lot_id=24707644
24707650,44B/2/50,44B,2," 844,750,000.00 "," 10,900,000.00 "," 42,237,500.00 ",0,On sale,03.08.2026 09:00,9,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,14,https://e-auksion.uz/lot-view?lot_id=24707650
24707659,44B/6/43,44B,6," 953,750,000.00 "," 10,900,000.00 "," 47,687,500.00 ",0,On sale,03.08.2026 09:00,8,9,87.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,68.4,0,19.1,9,https://e-auksion.uz/lot-view?lot_id=24707659
24707662,44B/6/52,44B,6," 745,560,000.00 "," 10,900,000.00 "," 37,278,000.00 ",0,On sale,03.08.2026 09:00,9,9,68.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,50.5,0,17.9,23,https://e-auksion.uz/lot-view?lot_id=24707662
24707665,45D/1/3,45D,1," 711,770,000.00 "," 10,900,000.00 "," 35,588,500.00 ",0,On sale,03.08.2026 09:00,2,12,65.3,0,2027-yilning 2 choragida,Tamirsiz holda (korobka),0,0,0,29,https://e-auksion.uz/lot-view?lot_id=24707665
24707674,45D/2/10,45D,2," 767,142,000.00 "," 10,900,000.00 "," 38,357,100.00 ",0,On sale,03.08.2026 09:00,2,12,70.38,0,2027-yilning 2 choragida,Tamirsiz holda (korobka),0,0,0,18,https://e-auksion.uz/lot-view?lot_id=24707674
24707679,45D/1/5,45D,1," 936,637,000.00 "," 10,900,000.00 "," 46,831,850.00 ",0,On sale,03.08.2026 09:00,2,12,85.93,0,2027-yilning 2 choragida,Tamirsiz holda (korobka),0,0,0,13,https://e-auksion.uz/lot-view?lot_id=24707679
24707691,45D/3/10,45D,3," 767,142,000.00 "," 10,900,000.00 "," 38,357,100.00 ",0,On sale,03.08.2026 09:00,2,12,70.38,0,2027-yilning 2 choragida,Tamirsiz holda (korobka),0,0,0,24,https://e-auksion.uz/lot-view?lot_id=24707691
