lot_number,Lot,Building,name, price , price_per_sqm , deposit ,applications,status,auction_end,unit_floor,building_floors,total_area,rooms,completion_term,handover_status,living_area,kitchen_area,auxiliary_area,views,url
24286757,46A,7,46A/7/10,"$751,555,000.00 ","$10,900,000.00 ","$37,577,750.00 ",0,On sale,13.07.2026 09:00,3,9,68.95,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,58.7,0,10.25,43,https://e-auksion.uz/lot-view?lot_id=24286757
24286758,46A,8,46A/8/45,"$772,156,000.00 ","$10,900,000.00 ","$38,607,800.00 ",0,On sale,13.07.2026 09:00,9,9,70.84,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.59,0,10.25,6,https://e-auksion.uz/lot-view?lot_id=24286758
24286771,46A,8,46A/8/34,"$751,555,000.00 ","$10,900,000.00 ","$37,577,750.00 ",0,On sale,13.07.2026 09:00,7,9,68.95,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,58.7,0,10.25,17,https://e-auksion.uz/lot-view?lot_id=24286771
24266885,46A,7,46A/7/25,"$973,261,000.00 ","$10,900,000.00 ","$48,663,050.00 ",0,On sale,13.07.2026 09:00,6,9,89.29,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,72.78,0,16.51,36,https://e-auksion.uz/lot-view?lot_id=24266885
24266892,46A,8,46A/8/43,"$973,261,000.00 ","$10,900,000.00 ","$48,663,050.00 ",0,On sale,13.07.2026 09:00,9,9,89.29,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,72.78,0,16.51,12,https://e-auksion.uz/lot-view?lot_id=24266892
24266899,46A,7,46A/7/17,"$868,730,000.00 ","$10,900,000.00 ","$43,436,500.00 ",1,On sale,13.07.2026 09:00,4,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,34,https://e-auksion.uz/lot-view?lot_id=24266899
24266952,46A,8,46A/8/48,"$973,261,000.00 ","$10,900,000.00 ","$48,663,050.00 ",0,On sale,13.07.2026 09:00,9,9,89.29,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,72.78,0,16.51,11,https://e-auksion.uz/lot-view?lot_id=24266952
24320845,46A,6,46A/6/51,"$748,458,000.00 ","$12,900,000.00 ","$37,422,900.00 ",0,On sale,13.07.2026 09:00,12,12,58.02,2,2027-yilning 2-choragida,To'liq bitkazilgan holda,45.04,0,12.98,8,https://e-auksion.uz/lot-view?lot_id=24320845
24320850,46A,1,46A/1/48,"$820,182,000.00 ","$12,900,000.00 ","$41,009,100.00 ",0,On sale,13.07.2026 09:00,11,12,63.58,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,51.33,0,12.25,9,https://e-auksion.uz/lot-view?lot_id=24320850
24320867,44B,6,44B/6/42,"$953,750,000.00 ","$10,900,000.00 ","$47,687,500.00 ",0,On sale,13.07.2026 09:00,7,9,87.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,68.4,0,19.1,13,https://e-auksion.uz/lot-view?lot_id=24320867
24320883,44B,6,44B/6/45,"$756,460,000.00 ","$10,900,000.00 ","$37,823,000.00 ",0,On sale,13.07.2026 09:00,8,9,69.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,52.2,0,17.2,7,https://e-auksion.uz/lot-view?lot_id=24320883
24286753,46A,7,46A/7/9,"$772,156,000.00 ","$10,900,000.00 ","$38,607,800.00 ",0,On sale,13.07.2026 09:00,3,9,70.84,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.59,0,10.25,13,https://e-auksion.uz/lot-view?lot_id=24286753
24320894,46A,2,46A/2/35,"$868,730,000.00 ","$10,900,000.00 ","$43,436,500.00 ",0,On sale,13.07.2026 09:00,7,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,3,https://e-auksion.uz/lot-view?lot_id=24320894
24320899,44A,7,44A/7/34,"$888,459,000.00 ","$10,900,000.00 ","$44,422,950.00 ",0,On sale,13.07.2026 09:00,8,12,81.51,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,60.58,0,20.93,15,https://e-auksion.uz/lot-view?lot_id=24320899
24320914,43F,5,43F/5/32,"$1,006,974,000.00 ","$12,900,000.00 ","$50,348,700.00 ",0,On sale,13.07.2026 09:00,7,12,78.06,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.43,0,17.63,14,https://e-auksion.uz/lot-view?lot_id=24320914
24320926,43F,5,43F/5/51,"$820,182,000.00 ","$12,900,000.00 ","$41,009,100.00 ",0,On sale,13.07.2026 09:00,11,12,63.58,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,40.21,11.12,23.37,6,https://e-auksion.uz/lot-view?lot_id=24320926
24320935,43F,8,43F/8/37,"$1,097,532,000.00 ","$12,900,000.00 ","$54,876,600.00 ",0,On sale,13.07.2026 09:00,7,7,85.08,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,56.44,10.26,28.64,2,https://e-auksion.uz/lot-view?lot_id=24320935
24320943,43F,8,43F/8/34,"$1,097,532,000.00 ","$12,900,000.00 ","$54,876,600.00 ",0,On sale,13.07.2026 09:00,6,7,85.08,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,56.44,10.26,28.64,2,https://e-auksion.uz/lot-view?lot_id=24320943
24266881,46A,7,46A/7/13,"$973,261,000.00 ","$10,900,000.00 ","$48,663,050.00 ",1,On sale,13.07.2026 09:00,4,9,89.29,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,72.78,0,16.51,29,https://e-auksion.uz/lot-view?lot_id=24266881
