lot_number,name, price , price_per_sqm , deposit ,applications,status,auction_end,unit_floor,building_floors,total_area,rooms,completion_term,handover_status,living_area,kitchen_area,auxiliary_area,views,url
24006114,44B/2/42," $953,750,000.00 "," $10,900,000.00 "," $47,687,500.00 ",0,On sale,23.06.2026 09:00,7,9,87.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,68.4,0,19.1,41,https://e-auksion.uz/lot-view?lot_id=24006114
24006140,44B/6/53," $844,750,000.00 "," $10,900,000.00 "," $42,237,500.00 ",0,On sale,23.06.2026 09:00,9,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,14,https://e-auksion.uz/lot-view?lot_id=24006140
24006147,44B/2/54," $953,750,000.00 "," $10,900,000.00 "," $47,687,500.00 ",0,On sale,23.06.2026 09:00,9,9,87.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,68.4,0,19.1,7,https://e-auksion.uz/lot-view?lot_id=24006147
24006154,44A/5/51," $693,532,000.00 "," $11,900,000.00 "," $34,676,600.00 ",0,On sale,23.06.2026 09:00,11,12,58.28,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,45.3,0,12.98,22,https://e-auksion.uz/lot-view?lot_id=24006154
24006165,44A/4/16," $894,166,000.00 "," $11,900,000.00 "," $44,708,300.00 ",0,On sale,23.06.2026 09:00,3,7,75.14,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,42.99,15.2,16.95,7,https://e-auksion.uz/lot-view?lot_id=24006165
24006171,46A/1/43," $820,182,000.00 "," $12,900,000.00 "," $41,009,100.00 ",0,On sale,23.06.2026 09:00,10,12,63.58,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,51.33,0,12.25,14,https://e-auksion.uz/lot-view?lot_id=24006171
24006180,46A/2/43," $973,261,000.00 "," $10,900,000.00 "," $48,663,050.00 ",0,On sale,23.06.2026 09:00,9,9,89.29,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,72.78,0,16.51,14,https://e-auksion.uz/lot-view?lot_id=24006180
24006187,46A/2/14," $868,730,000.00 "," $10,900,000.00 "," $43,436,500.00 ",0,On sale,23.06.2026 09:00,4,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,11,https://e-auksion.uz/lot-view?lot_id=24006187
24006194,46A/2/23," $868,730,000.00 "," $10,900,000.00 "," $43,436,500.00 ",0,On sale,23.06.2026 09:00,5,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,10,https://e-auksion.uz/lot-view?lot_id=24006194
24006196,46A/3/41," $868,730,000.00 "," $10,900,000.00 "," $43,436,500.00 ",0,On sale,23.06.2026 09:00,8,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,5,https://e-auksion.uz/lot-view?lot_id=24006196
24006200,46A/2/45," $751,555,000.00 "," $10,900,000.00 "," $37,577,750.00 ",0,On sale,23.06.2026 09:00,9,9,68.95,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,58.7,0,10.25,5,https://e-auksion.uz/lot-view?lot_id=24006200
24006204,46A/9/47," $850,854,000.00 "," $10,900,000.00 "," $42,542,700.00 ",0,On sale,23.06.2026 09:00,11,12,78.06,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,60.43,0,17.63,5,https://e-auksion.uz/lot-view?lot_id=24006204
