lot_number,name,price,price_per_sqm,deposit,applications,status,auction_end,unit_floor,building_floors,total_area,rooms,completion_term,handover_status,living_area,kitchen_area,auxiliary_area,views,url
24023567,44A/7/55,854887000,10900000,42744350,0,On sale,24.06.2026 09:00,12,12,78.43,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,60.92,0,17.51,0,https://e-auksion.uz/lot-view?lot_id=24023567
24023575,43F/5/27,1006974000,12900000,50348700,0,On sale,24.06.2026 09:00,6,12,78.06,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.43,0,17.63,0,https://e-auksion.uz/lot-view?lot_id=24023575
24023586,43F/5/54,748458000,12900000,37422900,0,On sale,24.06.2026 09:00,12,12,58.02,2,2027-yilning 2-choragida,To'liq bitkazilgan holda,45.04,0,12.98,0,https://e-auksion.uz/lot-view?lot_id=24023586
24023595,43F/5/26,820182000,12900000,41009100,0,On sale,24.06.2026 09:00,6,12,63.58,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,40.21,11.12,23.37,0,https://e-auksion.uz/lot-view?lot_id=24023595
24023610,43F/5/43,1068636000,12900000,53431800,0,On sale,24.06.2026 09:00,9,12,82.84,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,61.63,0,21.21,0,https://e-auksion.uz/lot-view?lot_id=24023610
24023625,43F/8/35,841338000,12900000,42066900,0,On sale,24.06.2026 09:00,6,7,65.22,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,53.24,0,11.98,0,https://e-auksion.uz/lot-view?lot_id=24023625
24023461,46A/6/36,748458000,12900000,37422900,0,On sale,24.06.2026 09:00,9,12,58.02,2,2027-yilning 2-choragida,To'liq bitkazilgan holda,45.04,0,12.98,0,https://e-auksion.uz/lot-view?lot_id=24023461
24023464,44B/6/45,756460000,10900000,37823000,0,On sale,24.06.2026 09:00,8,9,69.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,52.2,0,17.2,0,https://e-auksion.uz/lot-view?lot_id=24023464
24023476,44B/2/45,756460000,10900000,37823000,0,On sale,24.06.2026 09:00,8,9,69.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,52.2,0,17.2,0,https://e-auksion.uz/lot-view?lot_id=24023476
24023483,44B/6/50,844750000,10900000,42237500,0,On sale,24.06.2026 09:00,9,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,0,https://e-auksion.uz/lot-view?lot_id=24023483
