lot_number,name,lot_number_extracted,building_number, price , price_per_sqm , deposit ,applications,status,auction_end,unit_floor,building_floors,total_area,rooms,completion_term,handover_status,living_area,kitchen_area,auxiliary_area,views,url
24598957,44B/2/38,44B,2," 844,750,000.00 "," 10,900,000.00 "," 42,237,500.00 ",0,On sale,28.07.2026 09:00,7,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,58,https://e-auksion.uz/lot-view?lot_id=24598957
24598963,46A/9/31,46A,9," 902,956,000.00 "," 10,900,000.00 "," 45,147,800.00 ",0,On sale,28.07.2026 09:00,8,12,82.84,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,61.63,0,21.21,29,https://e-auksion.uz/lot-view?lot_id=24598963
24598972,46A/2/38,46A,2," 868,730,000.00 "," 10,900,000.00 "," 43,436,500.00 ",0,On sale,28.07.2026 09:00,8,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,10,https://e-auksion.uz/lot-view?lot_id=24598972
24598978,44A/5/56,44A,5," 693,532,000.00 "," 11,900,000.00 "," 34,676,600.00 ",0,On sale,28.07.2026 09:00,12,12,58.28,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,45.3,0,12.98,54,https://e-auksion.uz/lot-view?lot_id=24598978
24599008,45D/1/3,45D,1," 711,770,000.00 "," 10,900,000.00 "," 35,588,500.00 ",0,On sale,28.07.2026 09:00,2,12,65.3,0,2027-yilning 2 choragida,Tamirsiz holda (korobka),0,0,0,22,https://e-auksion.uz/lot-view?lot_id=24599008
24599023,45D/3/10,45D,3," 767,142,000.00 "," 10,900,000.00 "," 38,357,100.00 ",0,On sale,28.07.2026 09:00,2,12,70.38,0,2027-yilning 2 choragida,Tamirsiz holda (korobka),0,0,0,11,https://e-auksion.uz/lot-view?lot_id=24599023
24599032,45D/8/10,45D,8," 767,142,000.00 "," 10,900,000.00 "," 38,357,100.00 ",0,On sale,28.07.2026 09:00,2,9,70.38,0,2027-yilning 2 choragida,Tamirsiz holda (korobka),0,0,0,5,https://e-auksion.uz/lot-view?lot_id=24599032
24599040,45D/9/4,45D,9," 882,573,000.00 "," 10,900,000.00 "," 44,128,650.00 ",0,On sale,28.07.2026 09:00,2,12,80.97,0,2027-yilning 2 choragida,Tamirsiz holda (korobka),0,0,0,12,https://e-auksion.uz/lot-view?lot_id=24599040
24599048,43F/5/54,43F,5," 748,458,000.00 "," 12,900,000.00 "," 37,422,900.00 ",0,On sale,28.07.2026 09:00,12,12,58.02,2,2027-yilning 2-choragida,To'liq bitkazilgan holda,45.04,0,12.98,13,https://e-auksion.uz/lot-view?lot_id=24599048
24599059,43F/5/23,43F,5," 1,068,636,000.00 "," 12,900,000.00 "," 53,431,800.00 ",0,On sale,28.07.2026 09:00,5,12,82.84,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,61.63,0,21.21,8,https://e-auksion.uz/lot-view?lot_id=24599059
