lot_number,Lot,Building,name, price , price_per_sqm , deposit ,applications,status,auction_end,unit_floor,building_floors,total_area,rooms,completion_term,handover_status,living_area,kitchen_area,auxiliary_area,views,url
24435098,44A,6,44A/6/50," $873,308,000.00 "," $10,900,000.00 "," $43,665,400.00 ",0,On sale,21.07.2026 09:00,9,9,80.12,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,63.73,0,16.39,39,https://e-auksion.uz/lot-view?lot_id=24435098
24442306,44A,2,44A/2/16," $768,450,000.00 "," $10,900,000.00 "," $38,422,500.00 ",0,On sale,20.07.2026 09:00,3,9,70.5,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.94,0,9.56,21,https://e-auksion.uz/lot-view?lot_id=24442306
24442286,46A,7,46A/7/38," $868,730,000.00 "," $10,900,000.00 "," $43,436,500.00 ",0,On sale,20.07.2026 09:00,8,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,11,https://e-auksion.uz/lot-view?lot_id=24442286
24442296,46A,8,46A/8/29," $868,730,000.00 "," $10,900,000.00 "," $43,436,500.00 ",1,On sale,20.07.2026 09:00,6,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,15,https://e-auksion.uz/lot-view?lot_id=24442296
24442294,46A,8,46A/8/39," $772,156,000.00 "," $10,900,000.00 "," $38,607,800.00 ",0,On sale,20.07.2026 09:00,8,9,70.84,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.59,0,10.25,6,https://e-auksion.uz/lot-view?lot_id=24442294
24435067,44A,6,44A/6/18," $964,977,000.00 "," $10,900,000.00 "," $48,248,850.00 ",1,On sale,21.07.2026 09:00,3,9,88.53,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,70.42,0,18.11,36,https://e-auksion.uz/lot-view?lot_id=24435067
24442304,44A,2,44A/2/47," $872,981,000.00 "," $10,900,000.00 "," $43,649,050.00 ",0,On sale,20.07.2026 09:00,8,9,80.09,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,63.7,0,16.39,3,https://e-auksion.uz/lot-view?lot_id=24442304
24435089,44A,6,44A/6/35," $872,981,000.00 "," $10,900,000.00 "," $43,649,050.00 ",0,On sale,21.07.2026 09:00,6,9,80.09,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,63.7,0,16.39,9,https://e-auksion.uz/lot-view?lot_id=24435089
24442285,46A,7,46A/7/44," $868,730,000.00 "," $10,900,000.00 "," $43,436,500.00 ",0,On sale,20.07.2026 09:00,9,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,2,https://e-auksion.uz/lot-view?lot_id=24442285
24435095,44A,6,44A/6/45," $768,886,000.00 "," $10,900,000.00 "," $38,444,300.00 ",0,On sale,21.07.2026 09:00,8,9,70.54,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.76,0,9.78,10,https://e-auksion.uz/lot-view?lot_id=24435095
24435085,44A,6,44A/6/15," $768,886,000.00 "," $10,900,000.00 "," $38,444,300.00 ",0,On sale,21.07.2026 09:00,3,9,70.54,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.76,0,9.78,9,https://e-auksion.uz/lot-view?lot_id=24435085
24435078,44A,6,44A/6/21," $768,886,000.00 "," $10,900,000.00 "," $38,444,300.00 ",0,On sale,21.07.2026 09:00,4,9,70.54,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.76,0,9.78,15,https://e-auksion.uz/lot-view?lot_id=24435078
24435094,44A,6,44A/6/33," $768,886,000.00 "," $10,900,000.00 "," $38,444,300.00 ",0,On sale,21.07.2026 09:00,6,9,70.54,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.76,0,9.78,5,https://e-auksion.uz/lot-view?lot_id=24435094
24435074,44A,6,44A/6/54," $964,977,000.00 "," $10,900,000.00 "," $48,248,850.00 ",0,On sale,21.07.2026 09:00,9,9,88.53,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,70.42,0,18.11,23,https://e-auksion.uz/lot-view?lot_id=24435074
24435069,44A,6,44A/6/41," $872,981,000.00 "," $10,900,000.00 "," $43,649,050.00 ",0,On sale,21.07.2026 09:00,7,9,80.09,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,63.7,0,16.39,1,https://e-auksion.uz/lot-view?lot_id=24435069
24435077,44A,6,44A/6/44," $873,308,000.00 "," $10,900,000.00 "," $43,665,400.00 ",0,On sale,21.07.2026 09:00,8,9,80.12,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,63.73,0,16.39,10,https://e-auksion.uz/lot-view?lot_id=24435077
24435064,44A,6,44A/6/48," $964,977,000.00 "," $10,900,000.00 "," $48,248,850.00 ",0,On sale,21.07.2026 09:00,8,9,88.53,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,70.42,0,18.11,8,https://e-auksion.uz/lot-view?lot_id=24435064
24435068,44A,6,44A/6/53," $872,981,000.00 "," $10,900,000.00 "," $43,649,050.00 ",0,On sale,21.07.2026 09:00,9,9,80.09,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,63.7,0,16.39,4,https://e-auksion.uz/lot-view?lot_id=24435068
24473999,46A,8,46A/8/19," $973,261,000.00 "," $10,900,000.00 "," $48,663,050.00 ",1,On sale,20.07.2026 09:00,5,9,89.29,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,72.78,0,16.51,15,https://e-auksion.uz/lot-view?lot_id=24473999
24442271,46A,8,46A/8/44," $868,730,000.00 "," $10,900,000.00 "," $43,436,500.00 ",0,On sale,20.07.2026 09:00,9,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,1,https://e-auksion.uz/lot-view?lot_id=24442271
24435096,44A,6,44A/6/32," $873,308,000.00 "," $10,900,000.00 "," $43,665,400.00 ",0,On sale,21.07.2026 09:00,6,9,80.12,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,63.73,0,16.39,2,https://e-auksion.uz/lot-view?lot_id=24435096
24435093,44A,6,44A/6/43," $965,413,000.00 "," $10,900,000.00 "," $48,270,650.00 ",0,On sale,21.07.2026 09:00,8,9,88.57,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,70.46,0,18.11,15,https://e-auksion.uz/lot-view?lot_id=24435093
