lot_number,Lot,Building,name, price , price_per_sqm , deposit ,applications,status,auction_end,unit_floor,building_floors,total_area,rooms,completion_term,handover_status,living_area,kitchen_area,auxiliary_area,views,url
24246244,43F,8,43F/8/20,"$1,021,035,000.00 ","$12,900,000.00 ","$51,051,750.00 ",0,On sale,08.07.2026 09:00,4,7,79.15,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,51.46,8.52,27.69,42,https://e-auksion.uz/lot-view?lot_id=24246244
24246143,46A,6,46A/6/31,"$748,458,000.00 ","$12,900,000.00 ","$37,422,900.00 ",0,On sale,08.07.2026 09:00,8,12,58.02,2,2027-yilning 2-choragida,To'liq bitkazilgan holda,45.04,0,12.98,34,https://e-auksion.uz/lot-view?lot_id=24246143
24246146,44A,1,44A/1/56,"$693,532,000.00 ","$11,900,000.00 ","$34,676,600.00 ",0,On sale,08.07.2026 09:00,12,12,58.28,2,2027-yilning 2-choragida,To'liq bitkazilgan holda,45.3,0,12.98,38,https://e-auksion.uz/lot-view?lot_id=24246146
24246153,44A,4,44A/4/28,"$894,166,000.00 ","$11,900,000.00 ","$44,708,300.00 ",0,On sale,08.07.2026 09:00,5,7,75.14,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,42.99,15.2,16.95,20,https://e-auksion.uz/lot-view?lot_id=24246153
24246156,46A,1,46A/1/13,"$820,182,000.00 ","$12,900,000.00 ","$41,009,100.00 ",0,On sale,08.07.2026 09:00,4,12,63.58,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,51.33,0,12.25,18,https://e-auksion.uz/lot-view?lot_id=24246156
24246162,44A,5,44A/5/41,"$693,532,000.00 ","$11,900,000.00 ","$34,676,600.00 ",0,On sale,08.07.2026 09:00,9,12,58.28,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,45.3,0,12.98,16,https://e-auksion.uz/lot-view?lot_id=24246162
24246163,44B,6,44B/6/41,"$844,750,000.00 ","$10,900,000.00 ","$42,237,500.00 ",0,On sale,08.07.2026 09:00,7,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,9,https://e-auksion.uz/lot-view?lot_id=24246163
24246171,44A,4,44A/4/39,"$894,166,000.00 ","$11,900,000.00 ","$44,708,300.00 ",0,On sale,08.07.2026 09:00,7,7,75.14,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,42.99,15.2,16.95,9,https://e-auksion.uz/lot-view?lot_id=24246171
24246172,44A,4,44A/4/15,"$894,166,000.00 ","$11,900,000.00 ","$44,708,300.00 ",0,On sale,08.07.2026 09:00,3,7,75.14,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,42.99,15.2,16.95,12,https://e-auksion.uz/lot-view?lot_id=24246172
24246179,44B,2,44B/2/50,"$844,750,000.00 ","$10,900,000.00 ","$42,237,500.00 ",0,On sale,08.07.2026 09:00,9,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,6,https://e-auksion.uz/lot-view?lot_id=24246179
