lot_number,name,Lot,Building, price , price_per_sqm , deposit ,applications,status,auction_end,unit_floor,building_floors,total_area,rooms,completion_term,handover_status,living_area,kitchen_area,auxiliary_area,views,url
24195078,43F/8/41,43F,8," $841,338,000.00 "," $12,900,000.00 "," $42,066,900.00 ",0,On sale,06.07.2026 09:00,7,7,65.22,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,53.24,0,11.98,5,https://e-auksion.uz/lot-view?lot_id=24195078
24194982,44B/2/38,44B,2," $844,750,000.00 "," $10,900,000.00 "," $42,237,500.00 ",0,On sale,06.07.2026 09:00,7,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,6,https://e-auksion.uz/lot-view?lot_id=24194982
24194993,44A/5/56,44A,5," $693,532,000.00 "," $11,900,000.00 "," $34,676,600.00 ",0,On sale,06.07.2026 09:00,12,12,58.28,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,45.3,0,12.98,16,https://e-auksion.uz/lot-view?lot_id=24194993
24195001,44A/5/51,44A,5," $693,532,000.00 "," $11,900,000.00 "," $34,676,600.00 ",0,On sale,06.07.2026 09:00,11,12,58.28,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,45.3,0,12.98,5,https://e-auksion.uz/lot-view?lot_id=24195001
24195035,46A/9/51,46A,9," $902,956,000.00 "," $10,900,000.00 "," $45,147,800.00 ",0,On sale,06.07.2026 09:00,12,12,82.84,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,61.63,0,21.21,8,https://e-auksion.uz/lot-view?lot_id=24195035
24195050,43F/5/52,43F,5," $1,006,974,000.00 "," $12,900,000.00 "," $50,348,700.00 ",0,On sale,06.07.2026 09:00,11,12,78.06,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.43,0,17.63,4,https://e-auksion.uz/lot-view?lot_id=24195050
24195061,46A/9/46,46A,9," $902,956,000.00 "," $10,900,000.00 "," $45,147,800.00 ",0,On sale,06.07.2026 09:00,11,12,82.84,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,61.63,0,21.21,7,https://e-auksion.uz/lot-view?lot_id=24195061
24195067,43F/5/33,43F,5," $1,068,636,000.00 "," $12,900,000.00 "," $53,431,800.00 ",0,On sale,06.07.2026 09:00,7,12,82.84,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,61.63,0,21.21,1,https://e-auksion.uz/lot-view?lot_id=24195067
24195072,43F/5/53,43F,5," $1,068,636,000.00 "," $12,900,000.00 "," $53,431,800.00 ",0,On sale,06.07.2026 09:00,11,12,82.84,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,61.63,0,21.21,2,https://e-auksion.uz/lot-view?lot_id=24195072
24195084,43F/8/14,43F,8," $1,021,035,000.00 "," $12,900,000.00 "," $51,051,750.00 ",1,On sale,06.07.2026 09:00,3,7,79.15,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,51.46,8.52,27.69,30,https://e-auksion.uz/lot-view?lot_id=24195084
24194977,44A/1/56,44A,1," $693,532,000.00 "," $11,900,000.00 "," $34,676,600.00 ",0,On sale,06.07.2026 09:00,12,12,58.28,2,2027-yilning 2-choragida,To'liq bitkazilgan holda,45.3,0,12.98,14,https://e-auksion.uz/lot-view?lot_id=24194977
24194979,46A/1/33,46A,1," $820,182,000.00 "," $12,900,000.00 "," $41,009,100.00 ",0,On sale,06.07.2026 09:00,8,12,63.58,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,51.33,0,12.25,6,https://e-auksion.uz/lot-view?lot_id=24194979
24194988,44B/2/51,44B,2," $756,460,000.00 "," $10,900,000.00 "," $37,823,000.00 ",0,On sale,06.07.2026 09:00,9,9,69.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,52.2,0,17.2,2,https://e-auksion.uz/lot-view?lot_id=24194988
24194997,44B/6/48,44B,6," $953,750,000.00 "," $10,900,000.00 "," $47,687,500.00 ",0,On sale,06.07.2026 09:00,8,9,87.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,68.4,0,19.1,6,https://e-auksion.uz/lot-view?lot_id=24194997
24195006,44B/6/52,44B,6," $745,560,000.00 "," $10,900,000.00 "," $37,278,000.00 ",0,On sale,06.07.2026 09:00,9,9,68.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,50.5,0,17.9,6,https://e-auksion.uz/lot-view?lot_id=24195006
24195011,44B/6/51,44B,6," $756,460,000.00 "," $10,900,000.00 "," $37,823,000.00 ",0,On sale,06.07.2026 09:00,9,9,69.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,52.2,0,17.2,2,https://e-auksion.uz/lot-view?lot_id=24195011
24195015,44B/2/35,44B,2," $844,750,000.00 "," $10,900,000.00 "," $42,237,500.00 ",0,On sale,06.07.2026 09:00,6,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,2,https://e-auksion.uz/lot-view?lot_id=24195015
24195026,46A/2/35,46A,2," $868,730,000.00 "," $10,900,000.00 "," $43,436,500.00 ",0,On sale,06.07.2026 09:00,7,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,5,https://e-auksion.uz/lot-view?lot_id=24195026
24195037,43F/5/49,43F,5," $748,458,000.00 "," $12,900,000.00 "," $37,422,900.00 ",0,On sale,06.07.2026 09:00,11,12,58.02,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,45.04,0,12.98,4,https://e-auksion.uz/lot-view?lot_id=24195037
24195045,44A/7/49,44A,7," $888,459,000.00 "," $10,900,000.00 "," $44,422,950.00 ",0,On sale,06.07.2026 09:00,11,12,81.51,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,60.58,0,20.93,2,https://e-auksion.uz/lot-view?lot_id=24195045
24195055,43F/5/24,43F,5," $748,458,000.00 "," $12,900,000.00 "," $37,422,900.00 ",0,On sale,06.07.2026 09:00,6,12,58.02,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,45.04,0,12.98,5,https://e-auksion.uz/lot-view?lot_id=24195055
24195062,43F/5/19,43F,5," $748,458,000.00 "," $12,900,000.00 "," $37,422,900.00 ",0,On sale,06.07.2026 09:00,5,12,58.02,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,45.04,0,12.98,3,https://e-auksion.uz/lot-view?lot_id=24195062
24195076,43F/8/19,43F,8," $1,097,532,000.00 "," $12,900,000.00 "," $54,876,600.00 ",0,On sale,06.07.2026 09:00,4,7,85.08,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,56.44,10.26,28.64,1,https://e-auksion.uz/lot-view?lot_id=24195076
24195080,43F/8/20,43F,8," $1,021,035,000.00 "," $12,900,000.00 "," $51,051,750.00 ",0,On sale,06.07.2026 09:00,4,7,79.15,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,51.46,8.52,27.69,1,https://e-auksion.uz/lot-view?lot_id=24195080
24195085,43F/8/33,43F,8," $1,021,035,000.00 "," $12,900,000.00 "," $51,051,750.00 ",0,On sale,06.07.2026 09:00,6,7,79.15,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,51.46,8.52,27.69,1,https://e-auksion.uz/lot-view?lot_id=24195085
24195088,43F/8/28,43F,8," $1,097,532,000.00 "," $12,900,000.00 "," $54,876,600.00 ",0,On sale,06.07.2026 09:00,5,7,85.08,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,56.44,10.26,28.64,1,https://e-auksion.uz/lot-view?lot_id=24195088
24194971,46A/6/41,46A,6," $748,458,000.00 "," $12,900,000.00 "," $37,422,900.00 ",0,On sale,06.07.2026 09:00,10,12,58.02,2,2027-yilning 2-choragida,To'liq bitkazilgan holda,45.04,0,12.98,8,https://e-auksion.uz/lot-view?lot_id=24194971
24194992,44B/6/50,44B,6," $844,750,000.00 "," $10,900,000.00 "," $42,237,500.00 ",0,On sale,06.07.2026 09:00,9,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,4,https://e-auksion.uz/lot-view?lot_id=24194992
24195002,44B/2/47,44B,2," $844,750,000.00 "," $10,900,000.00 "," $42,237,500.00 ",0,On sale,06.07.2026 09:00,8,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,1,https://e-auksion.uz/lot-view?lot_id=24195002
24195008,44B/2/41,44B,2," $844,750,000.00 "," $10,900,000.00 "," $42,237,500.00 ",0,On sale,06.07.2026 09:00,7,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,2,https://e-auksion.uz/lot-view?lot_id=24195008
24195013,44B/2/45,44B,2," $756,460,000.00 "," $10,900,000.00 "," $37,823,000.00 ",0,On sale,06.07.2026 09:00,8,9,69.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,52.2,0,17.2,9,https://e-auksion.uz/lot-view?lot_id=24195013
24195024,46A/1/54,46A,1," $850,854,000.00 "," $10,900,000.00 "," $42,542,700.00 ",0,On sale,06.07.2026 09:00,12,12,78.06,3,2027-yilning 2 choragida ,To'liq bitkazilgan holda,60.43,0,17.63,5,https://e-auksion.uz/lot-view?lot_id=24195024
24195032,46A/9/47,46A,9," $850,854,000.00 "," $10,900,000.00 "," $42,542,700.00 ",0,On sale,06.07.2026 09:00,11,12,78.06,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,60.43,0,17.63,5,https://e-auksion.uz/lot-view?lot_id=24195032
24195042,43F/5/56,43F,5," $820,182,000.00 "," $12,900,000.00 "," $41,009,100.00 ",0,On sale,06.07.2026 09:00,12,12,63.58,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,40.21,11.12,23.37,2,https://e-auksion.uz/lot-view?lot_id=24195042
24195052,44A/7/55,44A,7," $854,887,000.00 "," $10,900,000.00 "," $42,744,350.00 ",0,On sale,06.07.2026 09:00,12,12,78.43,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,60.92,0,17.51,2,https://e-auksion.uz/lot-view?lot_id=24195052
24195064,43F/5/43,43F,5," $1,068,636,000.00 "," $12,900,000.00 "," $53,431,800.00 ",0,On sale,06.07.2026 09:00,9,12,82.84,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,61.63,0,21.21,1,https://e-auksion.uz/lot-view?lot_id=24195064
