lot_number,name,Lot,Building, price , price_per_sqm , deposit ,applications,status,auction_end,unit_floor,building_floors,total_area,rooms,completion_term,handover_status,living_area,kitchen_area,auxiliary_area,views,url
24195070,43F/8/25,43F,8," $1,097,532,000.00 "," $12,900,000.00 "," $54,876,600.00 ",0,On sale,06.07.2026 09:00,5,7,85.08,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,56.44,10.26,28.64,1,https://e-auksion.uz/lot-view?lot_id=24195070
24195082,43F/8/16,43F,8," $1,097,532,000.00 "," $12,900,000.00 "," $54,876,600.00 ",0,On sale,06.07.2026 09:00,3,7,85.08,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,56.44,10.26,28.64,2,https://e-auksion.uz/lot-view?lot_id=24195082
24194975,44A/1/60,44A,1," $888,459,000.00 "," $10,900,000.00 "," $44,422,950.00 ",0,On sale,06.07.2026 09:00,12,12,81.51,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,60.58,0,20.93,3,https://e-auksion.uz/lot-view?lot_id=24194975
24194980,44A/4/40,44A,4," $894,166,000.00 "," $11,900,000.00 "," $44,708,300.00 ",0,On sale,06.07.2026 09:00,7,7,75.14,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,42.99,15.2,16.95,1,https://e-auksion.uz/lot-view?lot_id=24194980
24194991,44A/4/21,44A,4," $894,166,000.00 "," $11,900,000.00 "," $44,708,300.00 ",0,On sale,06.07.2026 09:00,4,7,75.14,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,42.99,15.2,16.95,2,https://e-auksion.uz/lot-view?lot_id=24194991
24194999,44B/6/45,44B,6," $756,460,000.00 "," $10,900,000.00 "," $37,823,000.00 ",0,On sale,06.07.2026 09:00,8,9,69.4,2,2026-yilning 4-choragida ,To'liq bitkazilgan holda,52.2,0,17.2,3,https://e-auksion.uz/lot-view?lot_id=24194999
24195010,44B/2/29,44B,2," $844,750,000.00 "," $10,900,000.00 "," $42,237,500.00 ",0,On sale,06.07.2026 09:00,5,9,77.5,3,2026-yilning 4-choragida ,To'liq bitkazilgan holda,59.6,0,17.9,4,https://e-auksion.uz/lot-view?lot_id=24195010
24195023,46A/2/44,46A,2," $868,730,000.00 "," $10,900,000.00 "," $43,436,500.00 ",0,On sale,06.07.2026 09:00,9,9,79.7,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,62.6,0,17.1,4,https://e-auksion.uz/lot-view?lot_id=24195023
24195030,46A/3/46,46A,3," $772,156,000.00 "," $10,900,000.00 "," $38,607,800.00 ",0,On sale,06.07.2026 09:00,9,9,70.84,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.59,0,10.25,5,https://e-auksion.uz/lot-view?lot_id=24195030
24195039,44A/7/39,44A,7," $888,459,000.00 "," $10,900,000.00 "," $44,422,950.00 ",0,On sale,06.07.2026 09:00,9,12,81.51,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,60.58,0,20.93,1,https://e-auksion.uz/lot-view?lot_id=24195039
24195046,43F/5/32,43F,5," $1,006,974,000.00 "," $12,900,000.00 "," $50,348,700.00 ",0,On sale,06.07.2026 09:00,7,12,78.06,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,60.43,0,17.63,4,https://e-auksion.uz/lot-view?lot_id=24195046
24195054,43F/5/51,43F,5," $820,182,000.00 "," $12,900,000.00 "," $41,009,100.00 ",0,On sale,06.07.2026 09:00,11,12,63.58,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,40.21,11.12,23.37,5,https://e-auksion.uz/lot-view?lot_id=24195054
24195063,43F/5/39,43F,5," $748,458,000.00 "," $12,900,000.00 "," $37,422,900.00 ",0,On sale,06.07.2026 09:00,9,12,58.02,2,2027-yilning 2 choragida,To'liq bitkazilgan holda,45.04,0,12.98,4,https://e-auksion.uz/lot-view?lot_id=24195063
24195069,43F/5/48,43F,5," $1,068,636,000.00 "," $12,900,000.00 "," $53,431,800.00 ",0,On sale,06.07.2026 09:00,10,12,82.84,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,61.63,0,21.21,2,https://e-auksion.uz/lot-view?lot_id=24195069
24195074,43F/8/38,43F,8," $1,021,035,000.00 "," $12,900,000.00 "," $51,051,750.00 ",0,On sale,06.07.2026 09:00,7,7,79.15,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,51.46,8.52,27.69,3,https://e-auksion.uz/lot-view?lot_id=24195074
24195079,43F/8/32,43F,8," $1,021,035,000.00 "," $12,900,000.00 "," $51,051,750.00 ",0,On sale,06.07.2026 09:00,6,7,79.15,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,51.46,8.52,27.69,1,https://e-auksion.uz/lot-view?lot_id=24195079
24195083,43F/8/39,43F,8," $1,021,035,000.00 "," $12,900,000.00 "," $51,051,750.00 ",0,On sale,06.07.2026 09:00,7,7,79.15,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,51.46,8.52,27.69,1,https://e-auksion.uz/lot-view?lot_id=24195083
24195087,43F/8/34,43F,8," $1,097,532,000.00 "," $12,900,000.00 "," $54,876,600.00 ",0,On sale,06.07.2026 09:00,6,7,85.08,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,56.44,10.26,28.64,1,https://e-auksion.uz/lot-view?lot_id=24195087
24195056,43F/5/18,43F,5," $1,068,636,000.00 "," $12,900,000.00 "," $53,431,800.00 ",0,On sale,06.07.2026 09:00,4,12,82.84,3,2027-yilning 2 choragida,To'liq bitkazilgan holda,61.63,0,21.21,4,https://e-auksion.uz/lot-view?lot_id=24195056
24194974,46A/6/51,46A,6," $748,458,000.00 "," $12,900,000.00 "," $37,422,900.00 ",0,On sale,06.07.2026 09:00,12,12,58.02,2,2027-yilning 2-choragida,To'liq bitkazilgan holda,45.04,0,12.98,4,https://e-auksion.uz/lot-view?lot_id=24194974
24194983,46A/1/13,46A,1," $820,182,000.00 "," $12,900,000.00 "," $41,009,100.00 ",0,On sale,06.07.2026 09:00,4,12,63.58,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,51.33,0,12.25,4,https://e-auksion.uz/lot-view?lot_id=24194983
24194987,44A/4/15,44A,4," $894,166,000.00 "," $11,900,000.00 "," $44,708,300.00 ",0,On sale,06.07.2026 09:00,3,7,75.14,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,42.99,15.2,16.95,1,https://e-auksion.uz/lot-view?lot_id=24194987
24194996,44A/5/41,44A,5," $693,532,000.00 "," $11,900,000.00 "," $34,676,600.00 ",0,On sale,06.07.2026 09:00,9,12,58.28,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,45.3,0,12.98,8,https://e-auksion.uz/lot-view?lot_id=24194996
24195025,46A/1/43,46A,1," $820,182,000.00 "," $12,900,000.00 "," $41,009,100.00 ",0,On sale,06.07.2026 09:00,10,12,63.58,2,2027-yilning 2 choragida ,To'liq bitkazilgan holda,51.33,0,12.25,2,https://e-auksion.uz/lot-view?lot_id=24195025
24195038,46A/4/29,46A,4," $902,956,000.00 "," $10,900,000.00 "," $45,147,800.00 ",0,On sale,06.07.2026 09:00,9,12,82.84,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,61.63,0,21.21,4,https://e-auksion.uz/lot-view?lot_id=24195038
24195047,44A/7/44,44A,7," $888,459,000.00 "," $10,900,000.00 "," $44,422,950.00 ",0,On sale,06.07.2026 09:00,10,12,81.51,3,2027-yilning 2-choragida,To'liq bitkazilgan holda,60.58,0,20.93,2,https://e-auksion.uz/lot-view?lot_id=24195047
